,AllInsects,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
310,0.454851111,0,0,0.437819608,0.000218554,0.457027295,0
311,0.469451368,0,0,0.451858707,0.0002469,0.47300208,0
312,0.484248079,0,0,0.466108707,0.000278134,0.489271238,0
313,0.499225804,0,0,0.480554725,0.000312458,0.505819002,0
314,0.514367993,0,0,0.495180868,0.000350077,0.522627724,0
315,0.529657006,0,0,0.509970251,0.000391204,0.539677824,0
316,0.545074142,0,0,0.524905028,0.000436054,0.556947738,0
317,0.560599672,0,0,0.539966426,0.000484845,0.574413882,0
318,0.576212874,0,0,0.555134784,0.0005378,0.592050622,0
319,0.59189209,0,0,0.570389599,0.000595143,0.609830254,0
320,0.607614775,0,0,0.585709578,0.000657102,0.627722995,0
321,0.62335756,0,0,0.601072698,0.000723905,0.645696988,0
322,0.639096323,0,0,0.61645627,0.000795782,0.663718317,0
323,0.654806267,0,0,0.631837008,0.000872964,0.681751037,0
324,0.670461995,0,0,0.647191106,0.00095568,0.699757221,0
325,0.686037608,0,0,0.662494319,0.00104416,0.717697016,0
326,0.701506793,0,0,0.677722051,0.001138635,0.735528725,0
327,0.716842921,0,0,0.692849442,0.001239332,0.753208894,0
328,0.732019156,0,0,0.707851465,0.001346477,0.770692429,0
329,0.747008554,0,0,0.722703023,0.001460297,0.787932717,0
330,0.761784178,0,0,0.737379051,0.001581014,0.804881777,0
331,0.776319208,0,0,0.751854617,0.00170885,0.821490419,0
332,0.790587053,0,0,0.766105022,0.001844021,0.837708431,0
333,0.804561463,0,0,0.780105912,0.001986746,0.85348477,0
334,0.818216642,0,0,0.793833373,0.002137236,0.868767784,0
335,0.83152736,0,0,0.807264035,0.002295704,0.88350544,0
336,0.844469059,0,0,0.820375176,0.002462357,0.897645573,0
337,0.857017956,0,0,0.833144811,0.002637401,0.911136147,0
338,0.869151147,0,0,0.84555179,0.00282104,0.92392553,0
339,0.880846698,0,0,0.857575881,0.003013475,0.935962781,0
340,0.892083735,0,0,0.869197858,0.003214905,0.947197943,0
341,0.902842528,0,0,0.880399567,0.003425528,0.957582351,0
342,0.913104559,0,0,0.891164005,0.00364554,0.967068937,0
343,0.922852595,0,0,0.901475372,0.003875135,0.97561255,0
344,0.932070739,0,0,0.91131913,0.004114506,0.983170263,0
345,0.940744482,0.00E+00,1.73E-18,0.920682042,0.004363848,0.989701688,0
346,0.948860738,0,0.01848,0.929552213,0.004623353,0.995169289,0
347,0.956407877,0,0.03834,0.937919109,0.004893215,0.999538674,0
348,0.963375736,0,0.05896,0.945773581,0.005173628,1.002778894,0
349,0.969755637,0,0.07972,0.953107865,0.005464786,1.004862716,0
350,0.975540376,0.97,0.1,0.959915588,0.005766887,1.005766887,0
351,0.980724221,0.9944,0.11016,0.966191753,0.006080131,1.005472377,0
352,0.985302886,1.00336,0.11948,0.971932717,0.006404718,1.003964596,0
353,0.989273505,1.00072,0.12822,0.977136172,0.006740854,1.001233597,0
354,0.992634591,0.99032,0.13664,0.981801099,0.007088748,0.997274238,0
355,0.995385997,0.976,0.145,0.985927735,0.007448612,0.992086325,0
356,0.997528861,0.976528,0.15552,0.989517515,0.007820664,0.985674721,0
357,0.999065546,0.976984,0.16626,0.992573025,0.008205128,0.978049414,0
358,0.999999582,0.977376,0.17724,0.995097935,0.008602232,0.969225559,0
359,1.000335592,0.977712,0.18848,0.99709694,0.009012212,0.95922348,0
360,1.000079227,0.978,0.2,0.998575689,0.009435311,0.948068628,0
361,0.999237088,0.978048,0.21412,0.999540713,0.009871779,0.935791509,0
362,0.997816652,0.978064,0.22836,0.999999359,0.010321874,0.92242757,0
363,0.995826196,0.978056,0.24254,0.999959711,0.010785863,0.908017044,0
364,0.993274721,0.978032,0.25648,0.999430519,0.011264023,0.892604761,0
365,0.990171876,0.978,0.27,0.998421128,0.01175664,0.876239919,0
366,0.986527885,0.978,0.27824,0.996941407,0.01226401,0.858975824,0
367,0.98235348,0.978,0.28612,0.995001678,0.01278644,0.840869588,0
368,0.977659826,0.978,0.29388,0.992612655,0.01332425,0.821981809,0
369,0.972458465,0.978,0.30176,0.989785379,0.013877771,0.80237621,0
370,0.966761253,0.978,0.31,0.986531157,0.014447346,0.782119256,0
371,0.960580307,0.978,0.32328,0.982861516,0.015033331,0.761279759,0
372,0.953927954,0.978,0.33704,0.978788145,0.015636096,0.739928447,0
373,0.946816691,0.978,0.35116,0.974322857,0.016256026,0.718137537,0
374,0.939259141,0.978,0.36552,0.969477545,0.016893519,0.695980281,0
375,0.931268026,0.978,0.38,0.964264153,0.017548989,0.673530522,0
376,0.922856138,0.978,0.3932,0.95869464,0.018222866,0.650862234,0
377,0.914036314,0.978,0.4066,0.95278096,0.018915595,0.628049073,0
378,0.904821426,0.978,0.4204,0.946535042,0.019627639,0.605163936,0
379,0.895224365,0.978,0.4348,0.939968775,0.020359476,0.582278527,0
380,0.885258033,0.978,0.45,0.933093995,0.021111604,0.559462936,0
381,0.874935347,0.978,0.4744,0.925922481,0.021884538,0.536785248,0
382,0.864269235,0.978,0.4992,0.918465951,0.022678812,0.514311164,0
383,0.853272641,0.978,0.5238,0.910736059,0.023494979,0.492103654,0.0001
384,0.841958538,0.978,0.5476,0.902744403,0.02433361,0.470222635,0.0001
385,0.83033993,0.978,0.57,0.894502524,0.0251953,0.44872469,0.0001
386,0.818429871,0.978,0.57656,0.886021916,0.026080659,0.42766281,0.0001
387,0.806241476,0.978,0.58148,0.877314033,0.026990324,0.407086175,0.0001
388,0.793787934,0.978,0.58512,0.868390297,0.027924948,0.387039982,0.0001
389,0.781082524,0.978,0.58784,0.85926211,0.02888521,0.367565296,0.0001
390,0.768138627,0.978,0.59,0.849940857,0.02987181,0.348698949,0.0001
391,0.754969744,0.978,0.59272,0.840437922,0.03088547,0.330473475,0.0001
392,0.741589502,0.978,0.59516,0.830764688,0.031926937,0.312917084,0.0002
393,0.728011671,0.978,0.59724,0.820932552,0.032996981,0.29605367,0.0002
394,0.71425017,0.978,0.59888,0.810952925,0.034096395,0.279902856,0.0002
395,0.700319073,0.978,0.6,0.800837235,0.035226,0.264480075,0.0002
396,0.686232616,0.977984,0.59656,0.790596932,0.036386639,0.249796676,0.0002
397,0.672005197,0.977972,0.59268,0.780243487,0.037579182,0.235860068,0.0003
398,0.657651376,0.977968,0.58852,0.769788387,0.038804526,0.222673883,0.0003
399,0.64318587,0.977976,0.58424,0.759243135,0.040063591,0.210238166,0.0004
